<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
LKOH;D;20201208;000000;5015.5;5059;4953;4994;1265912;0
LKOH;D;20201209;000000;5004;5128;4980;5023;1549389;0
LKOH;D;20201210;000000;5006.5;5338;5005.5;5287;2582921;0
LKOH;D;20201211;000000;5298.5;5420;5275;5380;2278053;0
LKOH;D;20201214;000000;5420;5494;5262;5325;2110358;0
LKOH;D;20201215;000000;5306.5;5399.5;5220;5297.5;1487749;0
LKOH;D;20201216;000000;5299.5;5307;5105;5174;2286551;0
LKOH;D;20201217;000000;5180;5244.5;5104;5188;2016282;0
LKOH;D;20201218;000000;5173;5176.5;5075;5140;2725306;0
LKOH;D;20201221;000000;5061.5;5115;4938.5;5095.5;2458741;0
LKOH;D;20201222;000000;5040.5;5138;5040.5;5073;1160624;0
LKOH;D;20201223;000000;5070;5130;5047.5;5107;659202;0
LKOH;D;20201224;000000;5128.5;5148;5082.5;5105.5;434562;0
LKOH;D;20201225;000000;5114.5;5114.5;5087.5;5106;134720;0
LKOH;D;20201228;000000;5114;5175.5;5101;5101.5;688228;0
LKOH;D;20201229;000000;5115.5;5170;5114;5143;661210;0
LKOH;D;20201230;000000;5149.5;5204;5146;5169.5;790048;0
LKOH;D;20210104;000000;5238.5;5274.5;5186.5;5212.5;778343;0
LKOH;D;20210105;000000;5214.5;5359;5180;5358.5;1178943;0
LKOH;D;20210106;000000;5375;5401;5304;5376.5;1394998;0
LKOH;D;20210108;000000;5450;5557.5;5425;5556.5;2070143;0
LKOH;D;20210111;000000;5510;5639;5451;5599;2047794;0
LKOH;D;20210112;000000;5616;5724.5;5615;5721;1747049;0
LKOH;D;20210113;000000;5750;5827;5706;5755;2045581;0
LKOH;D;20210114;000000;5750;5957.5;5715;5937;2106542;0
LKOH;D;20210115;000000;5882.5;5995;5852;5888.5;1915743;0
LKOH;D;20210118;000000;5865;5902;5802.5;5873;1308036;0
LKOH;D;20210119;000000;5913;5968;5854;5892;1243631;0
LKOH;D;20210120;000000;5907;5962;5843;5864;966472;0
LKOH;D;20210121;000000;5884.5;5921.5;5710;5771;1832271;0
LKOH;D;20210122;000000;5701;5787;5626;5740.5;1639101;0
LKOH;D;20210125;000000;5755;5797.5;5675;5722;1320901;0
LKOH;D;20210126;000000;5681;5703.5;5553;5595.5;1622050;0
LKOH;D;20210127;000000;5619.5;5631;5484;5499.5;1733280;0
LKOH;D;20210128;000000;5467;5617;5442.5;5575;1686020;0
LKOH;D;20210129;000000;5552;5561.5;5365.5;5377;2021903;0
LKOH;D;20210201;000000;5420;5426;5296.5;5406;2113706;0
LKOH;D;20210202;000000;5427.5;5577;5407.5;5516;2451039;0
LKOH;D;20210203;000000;5554;5642;5491.5;5555;1799457;0
LKOH;D;20210204;000000;5565;5728.5;5529;5699.5;2271731;0
LKOH;D;20210205;000000;5742;5770.5;5644;5715;1126362;0
LKOH;D;20210208;000000;5750;5797.5;5698;5758;963993;0
