<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
SBER;D;20180614;000000;214.82;217.49;213.6;214;42732410;0
SBER;D;20180615;000000;213.9;215;207.9;209.36;86209880;0
SBER;D;20180618;000000;209;211.2;205.01;206.3;54276700;0
SBER;D;20180619;000000;204;206.77;202.11;206;51734620;0
SBER;D;20180620;000000;207;212.37;207;212.2;60991640;0
SBER;D;20180621;000000;212.25;214.16;208.62;210.4;65102970;0
SBER;D;20180622;000000;211.62;215;209.62;214.43;67568430;0
SBER;D;20180625;000000;204.5;206.94;202.51;202.51;56516980;0
SBER;D;20180626;000000;203.64;205;199.6;199.91;54747990;0
SBER;D;20180627;000000;201.85;209.33;198.55;207.95;81134770;0
SBER;D;20180628;000000;207.85;210.63;207.01;208.5;46877330;0
SBER;D;20180629;000000;210.1;218.3;210.09;218;76707660;0
SBER;D;20180702;000000;217.01;222.83;216;221.01;55213130;0
SBER;D;20180703;000000;221.01;222.45;217.1;218.45;38401730;0
SBER;D;20180704;000000;218.23;219.56;216.61;217.7;20277940;0
SBER;D;20180705;000000;217.5;224.54;216.85;224.54;53737300;0
SBER;D;20180706;000000;225.01;227.59;221.61;226.71;55247910;0
SBER;D;20180709;000000;228.5;231.24;228.2;230;50069820;0
SBER;D;20180710;000000;230.95;232.25;228;230.3;43340410;0
SBER;D;20180711;000000;229.2;229.2;224.8;227.57;58161000;0
SBER;D;20180712;000000;226.76;228.45;225.1;226.6;40488130;0
SBER;D;20180713;000000;227.3;230.86;227.22;229.85;39651270;0
SBER;D;20180716;000000;230.1;231;226.42;227.99;35579630;0
SBER;D;20180717;000000;227;227;220.52;222.5;62586090;0
SBER;D;20180718;000000;222;224;215.64;216.28;61197290;0
SBER;D;20180719;000000;216.9;217.11;206.56;207.5;93333130;0
SBER;D;20180720;000000;207.77;210.95;201.1;204.34;126702190;0
SBER;D;20180723;000000;205.4;210.4;205.25;208.42;55275810;0
SBER;D;20180724;000000;209;215.45;208.92;215.45;54142290;0
SBER;D;20180725;000000;211;215.45;208.34;213.7;76868200;0
SBER;D;20180726;000000;215.7;216.51;209.11;210;59754670;0
SBER;D;20180727;000000;210;211.22;205.58;208.9;58628430;0
SBER;D;20180730;000000;207.77;212.49;206.56;211.33;48372730;0
SBER;D;20180731;000000;211.09;214.94;210.24;214.86;45260950;0
SBER;D;20180801;000000;213.5;215.2;210.57;210.6;37666650;0
SBER;D;20180802;000000;208.54;211.72;205.13;206.6;58115220;0
SBER;D;20180803;000000;206.49;206.55;202;202.21;74165120;0
